Category: All categories

Week,zoom: (Germany)
2020-01-05,10
2020-01-12,11
2020-01-19,11
2020-01-26,11
2020-02-02,11
2020-02-09,11
2020-02-16,11
2020-02-23,10
2020-03-01,11
2020-03-08,15
2020-03-15,47
2020-03-22,86
2020-03-29,100
2020-04-05,75
2020-04-12,72
2020-04-19,94
2020-04-26,79
2020-05-03,68
2020-05-10,60
2020-05-17,45
2020-05-24,45
2020-05-31,39
2020-06-07,35
2020-06-14,36
2020-06-21,31
2020-06-28,29
2020-07-05,28
2020-07-12,28
2020-07-19,26
2020-07-26,22
2020-08-02,23
2020-08-09,19
2020-08-16,22
2020-08-23,24
2020-08-30,27
2020-09-06,25
2020-09-13,26
2020-09-20,26
2020-09-27,27
2020-10-04,30
2020-10-11,30
2020-10-18,34
2020-10-25,45
2020-11-01,59
2020-11-08,59
2020-11-15,55
2020-11-22,48
2020-11-29,50
2020-12-06,48
2020-12-13,58
2020-12-20,45
2020-12-27,29
